BI,BI log,BV,AI,AV,VDEVICE,RESISTANCE,,AV,BIAbs
1.15E-09,-8.94E+00,-7.64E-06,-1.14E-09,-4.47E-05,-3.76E-05,-3.28E+04,,1.299999952,0.000428583
6.09E-10,-9.22E+00,-1.29E-05,-6.00E-10,9.96E-03,9.97E-03,1.64E+07,,1.304999948,0.000434371
1.30E-10,-9.89E+00,-9.23E-06,-1.29E-10,2.00E-02,2.00E-02,1.54E+08,,1.309999943,0.000440163
-5.07E-10,-9.29E+00,-1.92E-05,5.10E-10,3.00E-02,3.00E-02,5.92E+07,,1.315000057,0.000446041
-1.22E-09,-8.91E+00,-1.48E-05,1.15E-09,4.00E-02,4.00E-02,3.27E+07,,1.320000052,0.000451936
-1.72E-09,-8.76E+00,-1.61E-05,1.65E-09,5.00E-02,5.00E-02,2.90E+07,,1.325000048,0.000457929
-2.20E-09,-8.66E+00,-1.73E-05,2.13E-09,6.00E-02,6.00E-02,2.73E+07,,1.330000043,0.000463928
-2.67E-09,-8.57E+00,-1.81E-05,2.60E-09,7.00E-02,7.00E-02,2.62E+07,,1.335000038,0.000470027
-3.14E-09,-8.50E+00,-1.70E-05,3.06E-09,8.00E-02,8.00E-02,2.55E+07,,1.340000033,0.000476141
-3.59E-09,-8.44E+00,-1.91E-05,3.52E-09,9.00E-02,9.00E-02,2.51E+07,,1.345000029,0.000482346
-4.04E-09,-8.39E+00,-1.90E-05,3.97E-09,1.00E-01,1.00E-01,2.48E+07,,1.350000024,0.000488572
-4.49E-09,-8.35E+00,-2.01E-05,4.41E-09,1.10E-01,1.10E-01,2.45E+07,,1.355000019,0.000494899
-4.72E-09,-8.33E+00,-1.40E-05,4.68E-09,1.20E-01,1.20E-01,2.54E+07,,1.360000014,0.000501237
-5.17E-09,-8.29E+00,-1.43E-05,5.29E-09,1.30E-01,1.30E-01,2.52E+07,,1.36500001,0.000507686
-5.68E-09,-8.25E+00,-1.50E-05,5.80E-09,1.40E-01,1.40E-01,2.47E+07,,1.370000005,0.000514154
-6.18E-09,-8.21E+00,-1.48E-05,6.30E-09,1.50E-01,1.50E-01,2.43E+07,,1.375,0.00052073
-6.67E-09,-8.18E+00,-1.48E-05,6.79E-09,1.60E-01,1.60E-01,2.40E+07,,1.379999995,0.00052733
