 Voltage (V) , Frequency (Hz) , 2uF , 1uF , 500nF , 200nF , 100nF , 50nF , 20nF 
 4.50 ,"1,536.10","1,536.10",,,,,,
 4.60 ,"1,718.21","1,718.21",,,,,,
 4.70 ,"1,865.67","1,865.67",,,,,,
 4.80 ,"1,984.13","1,984.13",,,,,,
 4.90 ,"2,127.66","2,127.66",,,,,,
 5.00 ,"2,222.22","2,222.22",,,,,,
 5.10 ,"2,336.45","2,336.45",,,,,,
 5.20 ,"2,415.46","2,415.46",,,,,,
 5.30 ,"2,512.56","2,512.56",,,,,,
 5.40 ,"2,617.80","2,617.80",,,,,,
 5.50 ,"2,710.03","2,710.03",,,,,,
 5.60 ,"2,857.14","2,857.14",,,,,,
 5.70 ,"2,932.55","2,932.55",,,,,,
 5.80 ,"3,021.15","3,021.15",,,,,,
 5.90 ,"3,086.42","3,086.42",,,,,,
 6.00 ,"3,184.71","3,184.71",,,,,,
 6.10 ,"3,246.75","3,246.75",,,,,,
 6.20 ,"3,322.26","3,322.26",,,,,,
 6.30 ,"3,401.36","3,401.36",,,,,,
 6.40 ,"3,472.22","3,472.22",,,,,,
 6.50 ,"3,533.57","3,533.57",,,,,,
 6.60 ,"3,597.12","3,597.12",,,,,,
 6.70 ,"3,649.64","3,649.64",,,,,,
 6.80 ,"3,717.47","3,717.47",,,,,,
 7.00 ,"3,831.42","3,831.42",,,,,,
 7.20 ,"3,906.25","3,906.25",,,,,,
 7.40 ,"3,984.06","3,984.06",,,,,,
 7.60 ,"4,065.04","4,065.04",,,,,,
 7.80 ,"4,115.23","4,115.23",,,,,,
 8.00 ,"4,166.67","4,166.67",,,,,,
 8.20 ,"4,184.10","4,184.10",,,,,,
 8.40 ,"4,201.68","4,201.68",,,,,,
 8.60 ,"4,201.68","4,201.68",,,,,,
 8.80 ,"4,132.23","4,132.23",,,,,,
 9.00 ,"3,968.25","3,968.25",,,,,,
 9.10 ,"3,861.00","3,861.00",,,,,,
 4.50 ,,,,,,,,
 4.60 ,"3,012.05",,"3,012.05",,,,,
 4.70 ,"3,322.26",,"3,322.26",,,,,
 4.80 ,"3,610.11",,"3,610.11",,,,,
 5.00 ,"4,048.58",,"4,048.58",,,,,
 5.50 ,"5,025.13",,"5,025.13",,,,,
 6.00 ,"5,847.95",,"5,847.95",,,,,
 6.50 ,"6,535.95",,"6,535.95",,,,,
 7.00 ,"7,042.25",,"7,042.25",,,,,
 7.50 ,"7,407.41",,"7,407.41",,,,,
 8.00 ,"7,518.80",,"7,518.80",,,,,
 8.50 ,"6,849.32",,"6,849.32",,,,,
 8.60 ,,,,,,,,
 8.80 ,,,,,,,,
 9.00 ,,,,,,,,
 4.60 ,,,,,,,,
 4.70 ,"5,747.13",,," 5,747.13 ",,,,
 5.00 ,"7,299.27",,," 7,299.27 ",,,,
 5.50 ,"9,090.91",,," 9,090.91 ",,,,
