Voltage (V),Frequency (Hz),2uF,1uF,500nF,200nF,100nF,50nF,20nF
4.5,1536.09831,1536.09831,,,,,,
4.6,1718.213058,1718.213058,,,,,,
4.7,1865.671642,1865.671642,,,,,,
4.8,1984.126984,1984.126984,,,,,,
4.9,2127.659574,2127.659574,,,,,,
5,2222.222222,2222.222222,,,,,,
5.1,2336.448598,2336.448598,,,,,,
5.2,2415.458937,2415.458937,,,,,,
5.3,2512.562814,2512.562814,,,,,,
5.4,2617.801047,2617.801047,,,,,,
5.5,2710.0271,2710.0271,,,,,,
5.6,2857.142857,2857.142857,,,,,,
5.7,2932.55132,2932.55132,,,,,,
5.8,3021.148036,3021.148036,,,,,,
5.9,3086.419753,3086.419753,,,,,,
6,3184.713376,3184.713376,,,,,,
6.1,3246.753247,3246.753247,,,,,,
6.2,3322.259136,3322.259136,,,,,,
6.3,3401.360544,3401.360544,,,,,,
6.4,3472.222222,3472.222222,,,,,,
6.5,3533.568905,3533.568905,,,,,,
6.6,3597.122302,3597.122302,,,,,,
6.7,3649.635036,3649.635036,,,,,,
6.8,3717.472119,3717.472119,,,,,,
7,3831.417625,3831.417625,,,,,,
7.2,3906.25,3906.25,,,,,,
7.4,3984.063745,3984.063745,,,,,,
7.6,4065.04065,4065.04065,,,,,,
7.8,4115.226337,4115.226337,,,,,,
8,4166.666667,4166.666667,,,,,,
8.2,4184.100418,4184.100418,,,,,,
8.4,4201.680672,4201.680672,,,,,,
8.6,4201.680672,4201.680672,,,,,,
8.8,4132.231405,4132.231405,,,,,,
9,3968.253968,3968.253968,,,,,,
9.1,3861.003861,3861.003861,,,,,,
4.5,,,,,,,,
4.6,3012.048193,,3012.048193,,,,,
4.7,3322.259136,,3322.259136,,,,,
4.8,3610.108303,,3610.108303,,,,,
5,4048.582996,,4048.582996,,,,,
5.5,5025.125628,,5025.125628,,,,,
6,5847.953216,,5847.953216,,,,,
6.5,6535.947712,,6535.947712,,,,,
7,7042.253521,,7042.253521,,,,,
7.5,7407.407407,,7407.407407,,,,,
8,7518.796992,,7518.796992,,,,,
8.5,6849.315068,,6849.315068,,,,,
8.6,,,,,,,,
8.8,,,,,,,,
9,,,,,,,,
4.6,,,,,,,,
4.7,5747.126437,,,5747.126437,,,,
5,7299.270073,,,7299.270073,,,,
5.5,9090.909091,,,9090.909091,,,,
6,10638.29787,,,10638.29787,,,,
6.5,11764.70588,,,11764.70588,,,,
7,12500,,,12500,,,,
7.5,12987.01299,,,12987.01299,,,,
8,12658.22785,,,12658.22785,,,,
8.1,12500,,,12500,,,,
8.2,,,,,,,,
8.3,,,,,,,,
4.8,,,,,,,,
4.9,13333.33333,,,,13333.33333,,,
5,14814.81481,,,,14814.81481,,,
5.5,19120.45889,,,,19120.45889,,,
6,22421.52466,,,,22421.52466,,,
6.5,24937.65586,,,,24937.65586,,,
7,26809.65147,,,,26809.65147,,,
7.5,27855.1532,,,,27855.1532,,,
7.6,28169.01408,,,,28169.01408,,,
7.7,29673.5905,,,,29673.5905,,,
7.8,,,,,,,,
7.8,,,,,,,,
8,,,,,,,,
5,,,,,,,,
5.1,,,,,,,,
5.2,26178.01047,,,,,26178.01047,,
5.3,28089.88764,,,,,28089.88764,,
5.5,31545.74132,,,,,31545.74132,,
6,37313.43284,,,,,37313.43284,,
6.5,41841.00418,,,,,41841.00418,,
7,45662.10046,,,,,45662.10046,,
7.1,46948.35681,,,,,46948.35681,,
7.2,50000,,,,,50000,,
7.3,,,,,,,,
7.5,,,,,,,,
5.1,,,,,,,,
5.2,,,,,,,,
5.3,46511.62791,,,,,,46511.62791,
5.5,52083.33333,,,,,,52083.33333,
5.8,59171.59763,,,,,,59171.59763,
6,62893.08176,,,,,,62893.08176,
6,62893.08176,,,,,,62893.08176,
6.2,66666.66667,,,,,,66666.66667,
6.4,70422.53521,,,,,,70422.53521,
6.6,74074.07407,,,,,,74074.07407,
6.8,77519.37984,,,,,,77519.37984,
7,80645.16129,,,,,,80645.16129,
7.1,47393.36493,,,,,,47393.36493,
7.2,84745.76271,,,,,,84745.76271,
7.3,87719.29825,,,,,,87719.29825,
7.4,91743.11927,,,,,,91743.11927,
7.5,,,,,,,,
5.5,,,,,,,,
5.6,107526.8817,,,,,,,107526.8817
5.7,112359.5506,,,,,,,112359.5506
5.8,116279.0698,,,,,,,116279.0698
5.9,120481.9277,,,,,,,120481.9277
6,125000,,,,,,,125000
6.2,133333.3333,,,,,,,133333.3333
6.3,,,,,,,,
