Bias,R,_X,Frequency,X
0.7,33820.6,7.21457,20,-7.21457
0.7,33821.3,5.53661,20.47,-5.53661
0.7,33823.7,4.42755,20.94,-4.42755
0.7,33831.3,3.55262,21.43,-3.55262
0.7,33834.4,4.63066,21.93,-4.63066
0.7,33833.3,3.16816,22.45,-3.16816
0.7,33834.3,3.03975,22.97,-3.03975
0.7,33837,4.45722,23.51,-4.45722
0.7,33837.8,3.22319,24.05,-3.22319
0.7,33837.5,5.18307,24.62,-5.18307
0.7,33838,5.077,25.19,-5.077
0.7,33840,4.22602,25.78,-4.22602
0.7,33843,4.41423,26.38,-4.41423
0.7,33845.5,4.68618,27,-4.68618
0.7,33847.1,4.18293,27.63,-4.18293
0.7,33852.3,4.00756,28.27,-4.00756
0.7,33850.4,4.10164,28.93,-4.10164
0.7,33849.7,3.74253,29.61,-3.74253
0.7,33851.9,5.72066,30.3,-5.72066
0.7,33849.7,4.87151,31,-4.87151
0.7,33849.6,4.50264,31.73,-4.50264
0.7,33852.4,4.0424,32.47,-4.0424
0.7,33852.8,5.34733,33.23,-5.34733
0.7,33855,3.837,34,-3.837
0.7,33856.2,2.40714,34.79,-2.40714
0.7,33854.5,3.04138,35.61,-3.04138
0.7,33856.6,3.10307,36.44,-3.10307
0.7,33851.7,3.80546,37.29,-3.80546
0.7,33852.6,3.49719,38.16,-3.49719
0.7,33856.3,3.80298,39.05,-3.80298
0.7,33855.5,3.42388,39.96,-3.42388
0.7,33855.6,4.89961,40.89,-4.89961
0.7,33860.1,2.37939,41.85,-2.37939
0.7,33857.6,3.09397,42.82,-3.09397
0.7,33859.1,2.34045,43.82,-2.34045
0.7,33858.6,2.49248,44.85,-2.49248
0.7,33859.5,2.32895,45.89,-2.32895
0.7,33860.1,2.1532,46.96,-2.1532
0.7,33861.5,2.93777,48.06,-2.93777
0.7,33863.2,4.44928,49.18,-4.44928
0.7,33860.1,3.92037,50.33,-3.92037
0.7,33863,3.82773,51.51,-3.82773
0.7,33864.3,2.54572,52.71,-2.54572
0.7,33857.9,2.56213,53.94,-2.56213
0.7,33862,2.24015,55.2,-2.24015
0.7,33862.5,3.24698,56.48,-3.24698
0.7,33862.5,2.21338,57.8,-2.21338
0.7,33865.6,1.90583,59.15,-1.90583
0.7,33864.2,2.47635,60.53,-2.47635
0.7,33864.1,1.80241,61.95,-1.80241
0.7,33863.4,2.71925,63.39,-2.71925
0.7,33863.2,1.56859,64.87,-1.56859
0.7,33862.1,1.6774,66.39,-1.6774
0.7,33864.5,2.05731,67.93,-2.05731
0.7,33865.3,2.04082,69.52,-2.04082
0.7,33864.4,1.76595,71.14,-1.76595
0.7,33868.2,1.59101,72.8,-1.59101
0.7,33872.8,1.48472,74.5,-1.48472
0.7,33871.2,2.0394,76.24,-2.0394
0.7,33868.3,2.449,78.02,-2.449
0.7,33868.8,2.03125,79.84,-2.03125
0.7,33867.5,2.13166,81.71,-2.13166
0.7,33868,1.79284,83.61,-1.79284
0.7,33869.2,2.13742,85.56,-2.13742
0.7,33870,2.10542,87.56,-2.10542
0.7,33868.1,2.87965,89.61,-2.87965
0.7,33873.3,2.64928,91.7,-2.64928
0.7,33874.1,2.06992,93.84,-2.06992
0.7,33874.3,-2.01952,96.03,2.01952
0.7,33877.3,2.16265,98.27,-2.16265
0.7,33876.6,3.03091,100.56,-3.03091
0.7,33874.6,2.1406,102.91,-2.1406
0.7,33877.1,3.3754,105.31,-3.3754
0.7,33877.4,3.41139,107.77,-3.41139
0.7,33877.2,3.2776,110.28,-3.2776
0.7,33875.3,3.05722,112.86,-3.05722
0.7,33877.1,2.48388,115.49,-2.48388
0.7,33877.8,3.98498,118.19,-3.98498
0.7,33874.8,3.9179,120.95,-3.9179
0.7,33877.6,4.93492,123.77,-4.93492
0.7,33879.6,4.36441,126.66,-4.36441
0.7,33880.9,3.81708,129.61,-3.81708
0.7,33882.6,3.94573,132.64,-3.94573
0.7,33885.6,4.79208,135.74,-4.79208
0.7,33883.2,4.63957,138.9,-4.63957
0.7,33886.6,5.84003,142.15,-5.84003
0.7,33890.3,6.82195,145.46,-6.82195
0.7,33887.2,7.16871,148.86,-7.16871
0.7,33886.7,7.17521,152.33,-7.17521
0.7,33893.3,8.39559,155.89,-8.39559
0.7,33889.4,7.88468,159.53,-7.88468
0.7,33894.1,9.17642,163.25,-9.17642
0.7,33899.6,9.70857,167.06,-9.70857
0.7,33900.5,11.0206,170.96,-11.0206
0.7,33897.3,11.1719,174.95,-11.1719
0.7,33901,12.1831,179.03,-12.1831
0.7,33901.3,13.4997,183.21,-13.4997
0.7,33897.4,13.6776,187.49,-13.6776
0.7,33902.3,15.3802,191.86,-15.3802
0.7,33903.6,16.5107,196.34,-16.5107
0.7,33904.8,17.2857,200.93,-17.2857
0.7,33903.9,17.5177,205.61,-17.5177
0.7,33908,19.3225,210.41,-19.3225
0.7,33909,20.6104,215.32,-20.6104
0.7,33909.2,21.6364,220.35,-21.6364
0.7,33910.5,22.6874,225.49,-22.6874
0.7,33906.9,23.3051,230.76,-23.3051
0.7,33910,25.5153,236.14,-25.5153
0.7,33912.1,26.8103,241.65,-26.8103
0.7,33912.4,27.9339,247.29,-27.9339
0.7,33908.6,29.4457,253.07,-29.4457
0.7,33909.7,30.7924,258.97,-30.7924
0.7,33914.4,32.0251,265.02,-32.0251
0.7,33913.3,33.4906,271.2,-33.4906
0.7,33911.4,35.3148,277.53,-35.3148
0.7,33913.6,36.6507,284.01,-36.6507
0.7,33916.2,38.5944,290.64,-38.5944
0.7,33916.9,40.2049,297.42,-40.2049
0.7,33916.4,42.1905,304.37,-42.1905
0.7,33915.2,44.3887,311.47,-44.3887
0.7,33918.3,46.1381,318.74,-46.1381
0.7,33920.4,47.7534,326.18,-47.7534
0.7,33924.9,49.7119,333.79,-49.7119
0.7,33923.9,52.19,341.58,-52.19
0.7,33922.2,53.8599,349.55,-53.8599
0.7,33923.5,55.9839,357.71,-55.9839
0.7,33923.6,58.0988,366.06,-58.0988
0.7,33922.8,60.5002,374.61,-60.5002
0.7,33923.5,62.3931,383.35,-62.3931
0.7,33924.2,65.1595,392.3,-65.1595
0.7,33926.3,67.1955,401.45,-67.1955
0.7,33922.6,69.6504,410.82,-69.6504
0.7,33923.1,72.17,420.41,-72.17
0.7,33924,74.7565,430.22,-74.7565
0.7,33923.8,77.2951,440.27,-77.2951
0.7,33925.3,80.4788,450.54,-80.4788
0.7,33925,83.1211,461.06,-83.1211
0.7,33921.6,85.2259,471.82,-85.2259
0.7,33924.6,88.4593,482.83,-88.4593
0.7,33923.5,91.2918,494.1,-91.2918
0.7,33923,94.5669,505.63,-94.5669
0.7,33923.4,97.1256,517.43,-97.1256
0.7,33928.9,101.176,529.51,-101.176
0.7,33930.7,104.087,541.87,-104.087
0.7,33928.6,106.588,554.52,-106.588
0.7,33931,110.03,567.46,-110.03
0.7,33930.6,113.972,580.71,-113.972
0.7,33928.7,116.583,594.26,-116.583
0.7,33930.3,121.13,608.13,-121.13
0.7,33927.9,123.975,622.32,-123.975
0.7,33928.2,128.408,636.85,-128.408
0.7,33930.3,132.108,651.71,-132.108
0.7,33930.6,135.121,666.92,-135.121
0.7,33935.8,139.717,682.49,-139.717
0.7,33937.1,144.097,698.42,-144.097
0.7,33934.6,147.627,714.72,-147.627
0.7,33936.8,152.157,731.4,-152.157
0.7,33933.5,156.088,748.47,-156.088
0.7,33931.2,160.83,765.94,-160.83
0.7,33933.7,164.705,783.82,-164.705
0.7,33936.6,170.415,802.11,-170.415
0.7,33934.1,173.911,820.84,-173.911
0.7,33935.1,178.928,839.99,-178.928
0.7,33934.8,183.73,859.6,-183.73
0.7,33935.8,188.949,879.66,-188.949
0.7,33936.3,193.943,900.2,-193.943
0.7,33935.5,199.236,921.21,-199.236
0.7,33937.2,204.231,942.71,-204.231
0.7,33938.4,209.812,964.71,-209.812
0.7,33935.9,215.661,987.23,-215.661
0.7,33936.2,219.907,1010.27,-219.907
0.7,33937.4,226.058,1033.85,-226.058
0.7,33937.5,231.966,1057.98,-231.966
0.7,33937.9,238.06,1082.67,-238.06
0.7,33939.5,244.197,1107.94,-244.197
0.7,33938.8,250.572,1133.8,-250.572
0.7,33940.9,257.145,1160.26,-257.145
0.7,33939,263.7,1187.35,-263.7
0.7,33940,270.334,1215.06,-270.334
0.7,33936.5,276.745,1243.42,-276.745
0.7,33935.9,284.426,1272.44,-284.426
0.7,33936.5,291.085,1302.14,-291.085
0.7,33939.3,299.011,1332.53,-299.011
0.7,33935.1,306.364,1363.63,-306.364
0.7,33934.1,313.921,1395.46,-313.921
0.7,33935.5,322.26,1428.03,-322.26
0.7,33938.9,330.415,1461.36,-330.415
0.7,33937.2,338.322,1495.47,-338.322
0.7,33939.7,347.019,1530.37,-347.019
0.7,33937.3,355.32,1566.09,-355.32
0.7,33937.8,364.465,1602.65,-364.465
0.7,33938.4,373.176,1640.05,-373.176
0.7,33937.5,382.297,1678.33,-382.297
0.7,33937.8,391.734,1717.5,-391.734
0.7,33939.6,401.719,1757.59,-401.719
0.7,33936.6,411.541,1798.61,-411.541
0.7,33937.5,421.734,1840.59,-421.734
0.7,33936.4,431.777,1883.55,-431.777
0.7,33936.4,442.036,1927.52,-442.036
0.7,33938.5,452.967,1972.5,-452.967
0.7,33934.4,464.702,2018.54,-464.702
0.7,33931.4,476.001,2065.66,-476.001
0.7,33934,487.655,2113.87,-487.655
0.7,33929.7,499.306,2163.21,-499.306
0.7,33931.7,511.548,2213.7,-511.548
0.7,33931.8,523.985,2265.37,-523.985
0.7,33930.2,536.401,2318.24,-536.401
0.7,33930.4,549.404,2372.35,-549.404
0.7,33929.5,562.92,2427.72,-562.92
0.7,33927.7,575.997,2484.38,-575.997
0.7,33928.2,589.77,2542.37,-589.77
0.7,33927,604.197,2601.71,-604.197
0.7,33927.2,618.156,2662.43,-618.156
0.7,33925,633.257,2724.57,-633.257
0.7,33921.6,647.826,2788.17,-647.826
0.7,33920.9,662.857,2853.24,-662.857
0.7,33918.6,678.864,2919.84,-678.864
0.7,33918.9,695.466,2987.99,-695.466
0.7,33916.1,711.601,3057.73,-711.601
0.7,33915.2,728.313,3129.1,-728.313
0.7,33918.5,746.243,3202.13,-746.243
0.7,33916.2,764.04,3276.87,-764.04
0.7,33913.7,781.873,3353.35,-781.873
0.7,33911.2,800.467,3431.62,-800.467
0.7,33911.1,819.353,3511.71,-819.353
0.7,33908.1,838.92,3593.68,-838.92
0.7,33907.8,858.491,3677.55,-858.491
0.7,33906.3,878.546,3763.39,-878.546
0.7,33907,899.528,3851.23,-899.528
0.7,33905.3,920.514,3941.12,-920.514
0.7,33899.1,941.594,4033.1,-941.594
0.7,33900.1,963.493,4127.24,-963.493
0.7,33896.5,986.269,4223.57,-986.269
0.7,33895.8,1009.49,4322.15,-1009.49
0.7,33894.8,1032.93,4423.02,-1032.93
0.7,33893.1,1056.95,4526.26,-1056.95
0.7,33889.2,1081.57,4631.9,-1081.57
0.7,33885.9,1106.49,4740.01,-1106.49
0.7,33883.6,1132.33,4850.65,-1132.33
0.7,33882.4,1158.67,4963.86,-1158.67
0.7,33880.3,1185.78,5079.72,-1185.78
0.7,33877.1,1213.29,5198.28,-1213.29
0.7,33874.4,1241.93,5319.61,-1241.93
0.7,33871.5,1270.01,5443.77,-1270.01
0.7,33870.9,1300.52,5570.83,-1300.52
0.7,33863.4,1330.43,5700.85,-1330.43
0.7,33859.4,1361.13,5833.91,-1361.13
0.7,33857.2,1392.67,5970.08,-1392.67
0.7,33851.4,1424.75,6109.42,-1424.75
0.7,33849.5,1458.2,6252.01,-1458.2
0.7,33845,1491.53,6397.94,-1491.53
0.7,33843.7,1525.84,6547.27,-1525.84
0.7,33835.7,1561.16,6700.08,-1561.16
0.7,33830.7,1597.14,6856.46,-1597.14
0.7,33828.2,1634.04,7016.49,-1634.04
0.7,33821,1671.32,7180.26,-1671.32
0.7,33815.6,1709.77,7347.85,-1709.77
0.7,33810.7,1748.97,7519.35,-1748.97
0.7,33809.1,1789.4,7694.85,-1789.4
0.7,33801.1,1829.76,7874.45,-1829.76
0.7,33794.7,1872.14,8058.24,-1872.14
0.7,33787.7,1914.7,8246.33,-1914.7
0.7,33779.4,1958.58,8438.8,-1958.58
0.7,33772.1,2003.46,8635.76,-2003.46
0.7,33762.4,2049.24,8837.32,-2049.24
0.7,33756.3,2096.47,9043.58,-2096.47
0.7,33746.3,2144.43,9254.66,-2144.43
0.7,33737.7,2193.47,9470.67,-2193.47
0.7,33731.5,2244.06,9691.72,-2244.06
0.7,33719.1,2295.14,9917.92,-2295.14
0.7,33710.9,2347.29,10149.41,-2347.29
0.7,33701.6,2401.75,10386.3,-2401.75
0.7,33688.9,2455.92,10628.72,-2455.92
0.7,33675.2,2510.95,10876.79,-2510.95
0.7,33666.6,2566.79,11130.66,-2566.79
0.7,33653.7,2624.38,11390.45,-2624.38
0.7,33642.4,2684.96,11656.31,-2684.96
0.7,33629.1,2744.73,11928.37,-2744.73
0.7,33613.1,2806.85,12206.78,-2806.85
0.7,33600.3,2869.1,12491.69,-2869.1
0.7,33587.2,2933.25,12783.25,-2933.25
0.7,33570.8,2999.84,13081.61,-2999.84
0.7,33553.4,3068.24,13386.94,-3068.24
0.7,33536.5,3135.06,13699.39,-3135.06
0.7,33518.6,3206.01,14019.14,-3206.01
0.7,33503.5,3278.37,14346.35,-3278.37
0.7,33481,3350.48,14681.2,-3350.48
0.7,33463.2,3424.34,15023.86,-3424.34
