#Procedure: <nfoinstruments.Measurements.LCRprocedures.ISProcedureConstTemp>,,,,,
#Parameters:,,,,,
#Data:,,,,,
Time,Bias,Frequency,Temperature,R,X
1719395532,0,20,nan,10919000,-3743170
1719395537,0,20.47,nan,11256000,-3720800
1719395541,0,20.94,nan,11270500,-3706460
1719395546,0,21.43,nan,11201400,-3702290
1719395551,0,21.93,nan,11116600,-3699990
1719395555,0,22.45,nan,11077600,-3686960
1719395559,0,22.97,nan,11024800,-3690240
1719395563,0,23.51,nan,10944100,-3698070
1719395567,0,24.05,nan,10874600,-3730770
1719395571,0,24.62,nan,10852100,-3726030
1719395578,0,25.19,nan,10770800,-3697600
1719395584,0,25.78,nan,10751400,-3721900
1719395590,0,26.38,nan,10699800,-3715520
1719395596,0,27,nan,10655800,-3719750
1719395601,0,27.63,nan,10616300,-3722470
1719395607,0,28.27,nan,10506900,-3715640
1719395613,0,28.93,nan,10488900,-3730410
1719395618,0,29.61,nan,10438800,-3725110
1719395623,0,30.3,nan,10390000,-3714300
1719395628,0,31,nan,10258700,-3754860
1719395633,0,31.73,nan,10206600,-3789880
1719395638,0,32.47,nan,10255300,-3752320
1719395644,0,33.23,nan,10158400,-3792160
1719395649,0,34,nan,10108300,-3770750
1719395654,0,34.79,nan,9924700,-3722530
1719395658,0,35.61,nan,9969090,-3795710
1719395663,0,36.44,nan,9949770,-3778700
1719395667,0,37.29,nan,9884440,-3787900
1719395671,0,38.16,nan,9798960,-3770370
1719395676,0,39.05,nan,9745810,-3801270
1719395680,0,39.96,nan,9757100,-3787310
1719395684,0,40.89,nan,9719540,-3801240
1719395688,0,41.85,nan,9635760,-3818210
1719395692,0,42.82,nan,9578830,-3811680
1719395696,0,43.82,nan,9523910,-3801190
1719395699,0,44.85,nan,9434560,-3842170
1719395703,0,45.89,nan,9407760,-3856540
1719395707,0,46.96,nan,9364970,-3829970
1719395710,0,48.06,nan,9306450,-3845860
1719395714,0,49.18,nan,9221590,-3741320
1719395718,0,50.33,nan,9156510,-3897480
1719395723,0,51.51,nan,9116960,-3899700
1719395727,0,52.71,nan,9078610,-3846040
1719395731,0,53.94,nan,8984780,-3866770
1719395735,0,55.2,nan,8944920,-3872770
1719395740,0,56.48,nan,8896680,-3894280
1719395744,0,57.8,nan,8842660,-3896960
1719395748,0,59.15,nan,8787440,-3888920
1719395751,0,60.53,nan,8692590,-3895020
1719395755,0,61.95,nan,8662700,-3926970
1719395759,0,63.39,nan,8585640,-3933290
1719395762,0,64.87,nan,8537760,-3912280
1719395766,0,66.39,nan,8474820,-3942280
1719395769,0,67.93,nan,8392080,-3933870
1719395773,0,69.52,nan,8358160,-3921040
1719395776,0,71.14,nan,8296010,-3914990
1719395779,0,72.8,nan,8234140,-3939980
1719395782,0,74.5,nan,8179470,-3958080
1719395786,0,76.24,nan,8111790,-3970410
1719395791,0,78.02,nan,8021800,-3976510
1719395794,0,79.84,nan,8000500,-3966830
1719395798,0,81.71,nan,7910050,-4009510
1719395802,0,83.61,nan,7870740,-3994810
1719395805,0,85.56,nan,7802660,-3990300
1719395809,0,87.56,nan,7759940,-3994660
1719395812,0,89.61,nan,7689450,-3995260
1719395815,0,91.7,nan,7635130,-4000910
1719395819,0,93.84,nan,7598760,-4029700
1719395822,0,96.03,nan,8047240,-4095360
1719395825,0,98.27,nan,7399860,-4011550
1719395828,0,100.56,nan,7375590,-4019610
1719395832,0,102.91,nan,7288790,-4037040
1719395836,0,105.31,nan,7264820,-4025700
1719395839,0,107.77,nan,7186430,-4025630
1719395842,0,110.28,nan,7112700,-4038360
1719395846,0,112.86,nan,7051220,-4020550
1719395849,0,115.49,nan,7120950,-3987790
1719395852,0,118.19,nan,6928530,-4049810
1719395855,0,120.95,nan,6862010,-4053220
1719395858,0,123.77,nan,6800470,-4042390
1719395862,0,126.66,nan,6729430,-4053020
1719395865,0,129.61,nan,6657990,-4043240
1719395868,0,132.64,nan,6593940,-4062500
1719395872,0,135.74,nan,6524790,-4068990
