Time,Bias,Frequency,Temperature,R,X,,,Real,_Imag,Freq
1719394580,0,20,nan,11097700,-3493000,,,11097700,3493000,20
1719394583,0,20.47,nan,11218700,-3693040,,,11218700,3693040,20.47
1719394585,0,20.94,nan,11203100,-3700530,,,11203100,3700530,20.94
1719394588,0,21.43,nan,11219300,-3783070,,,11219300,3783070,21.43
1719394590,0,21.93,nan,11114300,-3656360,,,11114300,3656360,21.93
1719394593,0,22.45,nan,11153000,-3640200,,,11153000,3640200,22.45
1719394595,0,22.97,nan,11019500,-3678050,,,11019500,3678050,22.97
1719394598,0,23.51,nan,10966600,-3657620,,,10966600,3657620,23.51
1719394600,0,24.05,nan,10919000,-3722370,,,10919000,3722370,24.05
1719394602,0,24.62,nan,10888300,-3739220,,,10888300,3739220,24.62
1719394605,0,25.19,nan,10792600,-3668210,,,10792600,3668210,25.19
1719394608,0,25.78,nan,10774400,-3712290,,,10774400,3712290,25.78
1719394611,0,26.38,nan,10695600,-3745270,,,10695600,3745270,26.38
1719394615,0,27,nan,10621900,-3713080,,,10621900,3713080,27
1719394618,0,27.63,nan,10556500,-3620310,,,10556500,3620310,27.63
1719394620,0,28.27,nan,10529700,-3676680,,,10529700,3676680,28.27
1719394623,0,28.93,nan,10494400,-3723550,,,10494400,3723550,28.93
1719394626,0,29.61,nan,10399800,-3738490,,,10399800,3738490,29.61
1719394628,0,30.3,nan,10352500,-3717410,,,10352500,3717410,30.3
1719394631,0,31,nan,10268400,-3779320,,,10268400,3779320,31
1719394633,0,31.73,nan,10332700,-3754520,,,10332700,3754520,31.73
1719394636,0,32.47,nan,10078700,-3780570,,,10078700,3780570,32.47
1719394638,0,33.23,nan,10192000,-3426730,,,10192000,3426730,33.23
1719394641,0,34,nan,9899870,-3377990,,,9899870,3377990,34
1719394643,0,34.79,nan,10246600,-3888430,,,10246600,3888430,34.79
1719394646,0,35.61,nan,9903470,-3806710,,,9903470,3806710,35.61
1719394648,0,36.44,nan,9856750,-3720290,,,9856750,3720290,36.44
1719394651,0,37.29,nan,9882220,-3783020,,,9882220,3783020,37.29
1719394653,0,38.16,nan,9838590,-3754610,,,9838590,3754610,38.16
1719394656,0,39.05,nan,9811570,-3792770,,,9811570,3792770,39.05
1719394658,0,39.96,nan,9765280,-3790660,,,9765280,3790660,39.96
1719394660,0,40.89,nan,9699190,-3809720,,,9699190,3809720,40.89
1719394662,0,41.85,nan,9589450,-3769290,,,9589450,3769290,41.85
1719394664,0,42.82,nan,9543750,-3827320,,,9543750,3827320,42.82
1719394666,0,43.82,nan,9450810,-3791810,,,9450810,3791810,43.82
1719394667,0,44.85,nan,9440990,-3860640,,,9440990,3860640,44.85
1719394669,0,45.89,nan,9360090,-3736540,,,9360090,3736540,45.89
1719394671,0,46.96,nan,9413560,-3722360,,,9413560,3722360,46.96
1719394673,0,48.06,nan,9124920,-3819560,,,9124920,3819560,48.06
1719394675,0,49.18,nan,9180560,-4246700,,,9180560,4246700,49.18
1719394677,0,50.33,nan,9975890,-3107510,,,9975890,3107510,50.33
1719394679,0,51.51,nan,9017090,-4016770,,,9017090,4016770,51.51
1719394681,0,52.71,nan,9052430,-3817950,,,9052430,3817950,52.71
1719394683,0,53.94,nan,8904870,-3859050,,,8904870,3859050,53.94
1719394685,0,55.2,nan,8882840,-3784430,,,8882840,3784430,55.2
1719394687,0,56.48,nan,8858440,-3880010,,,8858440,3880010,56.48
1719394689,0,57.8,nan,8854520,-3879280,,,8854520,3879280,57.8
1719394691,0,59.15,nan,8705690,-3902460,,,8705690,3902460,59.15
1719394693,0,60.53,nan,8760770,-3892940,,,8760770,3892940,60.53
1719394694,0,61.95,nan,8682290,-3835390,,,8682290,3835390,61.95
1719394696,0,63.39,nan,8619610,-3882130,,,8619610,3882130,63.39
1719394698,0,64.87,nan,8558670,-3883110,,,8558670,3883110,64.87
1719394700,0,66.39,nan,8442660,-3921560,,,8442660,3921560,66.39
1719394701,0,67.93,nan,8437860,-3907180,,,8437860,3907180,67.93
1719394703,0,69.52,nan,8323540,-3980870,,,8323540,3980870,69.52
1719394704,0,71.14,nan,8278410,-3981760,,,8278410,3981760,71.14
1719394706,0,72.8,nan,8195790,-3933910,,,8195790,3933910,72.8
1719394707,0,74.5,nan,8211140,-3984400,,,8211140,3984400,74.5
1719394709,0,76.24,nan,8136970,-3935600,,,8136970,3935600,76.24
1719394711,0,78.02,nan,8043700,-3985310,,,8043700,3985310,78.02
1719394713,0,79.84,nan,8003860,-3976220,,,8003860,3976220,79.84
1719394714,0,81.71,nan,7921320,-3996640,,,7921320,3996640,81.71
1719394716,0,83.61,nan,7915820,-4005190,,,7915820,4005190,83.61
1719394717,0,85.56,nan,7850620,-4011150,,,7850620,4011150,85.56
1719394719,0,87.56,nan,7770280,-3980150,,,7770280,3980150,87.56
1719394720,0,89.61,nan,7673310,-4002080,,,7673310,4002080,89.61
1719394722,0,91.7,nan,7598770,-4008680,,,7598770,4008680,91.7
1719394723,0,93.84,nan,7601890,-4040840,,,7601890,4040840,93.84
1719394725,0,96.03,nan,8086680,-3817130,,,8086680,3817130,96.03
1719394726,0,98.27,nan,7503780,-4008930,,,7503780,4008930,98.27
1719394728,0,100.56,nan,7419340,-3977240,,,7419340,3977240,100.56
1719394729,0,102.91,nan,7320240,-4025540,,,7320240,4025540,102.91
1719394731,0,105.31,nan,7215810,-4015330,,,7215810,4015330,105.31
1719394732,0,107.77,nan,7141420,-4025590,,,7141420,4025590,107.77
1719394734,0,110.28,nan,7132850,-4016330,,,7132850,4016330,110.28
1719394735,0,112.86,nan,7034130,-4024040,,,7034130,4024040,112.86
1719394737,0,115.49,nan,6865400,-3913440,,,6865400,3913440,115.49
1719394738,0,118.19,nan,6936570,-4066470,,,6936570,4066470,118.19
1719394739,0,120.95,nan,6863650,-4042740,,,6863650,4042740,120.95
1719394741,0,123.77,nan,6809790,-4016120,,,6809790,4016120,123.77
1719394742,0,126.66,nan,6724660,-4036830,,,6724660,4036830,126.66
1719394744,0,129.61,nan,6627560,-4035250,,,6627560,4035250,129.61
1719394745,0,132.64,nan,6591220,-4056000,,,6591220,4056000,132.64
1719394746,0,135.74,nan,6530050,-4035210,,,6530050,4035210,135.74
1719394748,0,138.9,nan,6463120,-4057160,,,6463120,4057160,138.9
1719394749,0,142.15,nan,6393160,-4056760,,,6393160,4056760,142.15
1719394750,0,145.46,nan,6314230,-4052480,,,6314230,4052480,145.46
1719394751,0,148.86,nan,6239350,-4063340,,,6239350,4063340,148.86
1719394753,0,152.33,nan,6180890,-4048790,,,6180890,4048790,152.33
