Time,Bias,Frequency,Temperature,R,X
1719397693,0.1,20,nan,10953700,-3747830
1719397698,0.1,20.47,nan,11109100,-3716880
1719397702,0.1,20.94,nan,11143500,-3734940
1719397707,0.1,21.43,nan,11110300,-3755760
1719397712,0.1,21.93,nan,11004400,-3732020
1719397716,0.1,22.45,nan,10957000,-3714490
1719397720,0.1,22.97,nan,10902400,-3736480
1719397724,0.1,23.51,nan,10872300,-3787060
1719397729,0.1,24.05,nan,10846400,-3728570
1719397733,0.1,24.62,nan,10787000,-3770590
1719397739,0.1,25.19,nan,10691100,-3751980
1719397745,0.1,25.78,nan,10655000,-3745780
1719397751,0.1,26.38,nan,10601500,-3783670
1719397758,0.1,27,nan,10545700,-3746650
1719397763,0.1,27.63,nan,10478400,-3750230
1719397769,0.1,28.27,nan,10438800,-3766370
1719397775,0.1,28.93,nan,10371700,-3782850
1719397780,0.1,29.61,nan,10372200,-3790540
1719397786,0.1,30.3,nan,10292000,-3732130
1719397791,0.1,31,nan,10234500,-3762110
1719397797,0.1,31.73,nan,10179100,-3737310
1719397802,0.1,32.47,nan,10198600,-3806730
1719397807,0.1,33.23,nan,10079100,-3818180
1719397812,0.1,34,nan,10039300,-3745970
1719397817,0.1,34.79,nan,9972050,-3834080
1719397822,0.1,35.61,nan,9904410,-3802220
1719397826,0.1,36.44,nan,9860270,-3807180
1719397831,0.1,37.29,nan,9821620,-3818790
1719397835,0.1,38.16,nan,9767860,-3805080
1719397839,0.1,39.05,nan,9714860,-3833200
1719397844,0.1,39.96,nan,9664190,-3848490
1719397848,0.1,40.89,nan,9599740,-3841650
1719397852,0.1,41.85,nan,9560930,-3823870
1719397856,0.1,42.82,nan,9464710,-3860240
1719397860,0.1,43.82,nan,9447570,-3890880
1719397864,0.1,44.85,nan,9377070,-3871710
1719397868,0.1,45.89,nan,9302190,-3871960
1719397872,0.1,46.96,nan,9216390,-3893250
1719397876,0.1,48.06,nan,9212990,-3866730
1719397879,0.1,49.18,nan,9131960,-3882960
1719397884,0.1,50.33,nan,9156050,-3686810
1719397889,0.1,51.51,nan,9010560,-3847880
1719397893,0.1,52.71,nan,8915060,-3887930
1719397897,0.1,53.94,nan,8901210,-3899310
1719397902,0.1,55.2,nan,8845150,-3915670
1719397906,0.1,56.48,nan,8780100,-3925540
1719397910,0.1,57.8,nan,8720870,-3960720
1719397914,0.1,59.15,nan,8637750,-3956110
1719397918,0.1,60.53,nan,8626440,-3936740
1719397922,0.1,61.95,nan,8526430,-3956580
1719397926,0.1,63.39,nan,8505620,-3954850
1719397929,0.1,64.87,nan,8418450,-3963220
