#Procedure: <nfoinstruments.Measurements.LCRprocedures.ISProcedureConstTemp>,,,,,
#Parameters:,,,,,
#Data:,,,,,
Time,Bias,Frequency,Temperature,R,X
1719408382,0.01,20,nan,11584400,-3745190
1719408387,0.01,20.47,nan,11454800,-3734700
1719408392,0.01,20.94,nan,11310300,-3805120
1719408397,0.01,21.43,nan,11256000,-3786620
1719408402,0.01,21.93,nan,11183700,-3728040
1719408406,0.01,22.45,nan,11183000,-3759940
1719408410,0.01,22.97,nan,11128400,-3728720
1719408414,0.01,23.51,nan,11033200,-3729700
1719408419,0.01,24.05,nan,10977800,-3735490
1719408423,0.01,24.62,nan,10946800,-3716270
1719408429,0.01,25.19,nan,10898700,-3735960
1719408435,0.01,25.78,nan,10881800,-3763080
1719408442,0.01,26.38,nan,10794400,-3756930
1719408449,0.01,27,nan,10746100,-3760260
1719408454,0.01,27.63,nan,10685800,-3791610
1719408460,0.01,28.27,nan,10637300,-3755640
1719408466,0.01,28.93,nan,10592900,-3746860
1719408471,0.01,29.61,nan,10548600,-3785950
1719408477,0.01,30.3,nan,10492800,-3773080
1719408482,0.01,31,nan,10406100,-3795890
1719408488,0.01,31.73,nan,10402600,-3787160
1719408493,0.01,32.47,nan,10258800,-3754210
1719408498,0.01,33.23,nan,10275800,-3878570
1719408503,0.01,34,nan,10292400,-3818040
1719408508,0.01,34.79,nan,10049700,-3815860
1719408513,0.01,35.61,nan,10096700,-3803950
1719408517,0.01,36.44,nan,10074900,-3855510
1719408522,0.01,37.29,nan,9991730,-3826340
1719408526,0.01,38.16,nan,9960070,-3809780
1719408531,0.01,39.05,nan,9922880,-3831490
1719408535,0.01,39.96,nan,9823730,-3835550
1719408539,0.01,40.89,nan,9789510,-3839920
1719408543,0.01,41.85,nan,9688550,-3848360
1719408547,0.01,42.82,nan,9691340,-3879550
1719408551,0.01,43.82,nan,9639640,-3848470
1719408555,0.01,44.85,nan,9561660,-3855880
1719408559,0.01,45.89,nan,9506720,-3873230
1719408563,0.01,46.96,nan,9413240,-3872060
